sex,age,sleep,percentage
すべて,すべて,5時間未満,9.5
すべて,すべて,5時間以上6時間未満,31.7
すべて,すべて,6時間以上7時間未満,34.5
すべて,すべて,7時間以上8時間未満,16.6
すべて,すべて,8時間以上9時間未満,5.7
すべて,すべて,9時間以上,2.0
すべて,20代,5時間未満,6.5
すべて,20代,5時間以上6時間未満,31.3
すべて,20代,6時間以上7時間未満,37.6
すべて,20代,7時間以上8時間未満,16.4
すべて,20代,8時間以上9時間未満,6.5
すべて,20代,9時間以上,1.7
すべて,30代,5時間未満,9.6
すべて,30代,5時間以上6時間未満,30.8
すべて,30代,6時間以上7時間未満,37.6
すべて,30代,7時間以上8時間未満,18.0
すべて,30代,8時間以上9時間未満,3.5
すべて,30代,9時間以上,0.7
すべて,40代,5時間未満,11.4
すべて,40代,5時間以上6時間未満,36.0
すべて,40代,6時間以上7時間未満,37.2
すべて,40代,7時間以上8時間未満,11.8
すべて,40代,8時間以上9時間未満,2.4
すべて,40代,9時間以上,1.2
すべて,50代,5時間未満,14.3
すべて,50代,5時間以上6時間未満,41.5
すべて,50代,6時間以上7時間未満,32.7
すべて,50代,7時間以上8時間未満,9.2
すべて,50代,8時間以上9時間未満,1.8
すべて,50代,9時間以上,0.5
すべて,60代,5時間未満,8.7
すべて,60代,5時間以上6時間未満,34.8
すべて,60代,6時間以上7時間未満,36.6
すべて,60代,7時間以上8時間未満,15.7
すべて,60代,8時間以上9時間未満,3.7
すべて,60代,9時間以上,0.6
すべて,70代以上,5時間未満,6.8
すべて,70代以上,5時間以上6時間未満,22.3
すべて,70代以上,6時間以上7時間未満,31.4
すべて,70代以上,7時間以上8時間未満,23.3
すべて,70代以上,8時間以上9時間未満,11.4
すべて,70代以上,9時間以上,4.8
男性,すべて,5時間未満,8.5
男性,すべて,5時間以上6時間未満,29.9
男性,すべて,6時間以上7時間未満,35.2
男性,すべて,7時間以上8時間未満,17.4
男性,すべて,8時間以上9時間未満,6.8
男性,すべて,9時間以上,2.1
男性,20代,5時間未満,8.6
男性,20代,5時間以上6時間未満,30.6
男性,20代,6時間以上7時間未満,35.9
男性,20代,7時間以上8時間未満,17.2
男性,20代,8時間以上9時間未満,6.7
男性,20代,9時間以上,1.0
男性,30代,5時間未満,10.4
男性,30代,5時間以上6時間未満,32.6
男性,30代,6時間以上7時間未満,38.6
男性,30代,7時間以上8時間未満,15.1
男性,30代,8時間以上9時間未満,3.4
男性,30代,9時間以上,0.0
男性,40代,5時間未満,11.5
男性,40代,5時間以上6時間未満,35.4
男性,40代,6時間以上7時間未満,39.5
男性,40代,7時間以上8時間未満,11.2
男性,40代,8時間以上9時間未満,1.7
男性,40代,9時間以上,0.6
男性,50代,5時間未満,12.3
男性,50代,5時間以上6時間未満,39.8
男性,50代,6時間以上7時間未満,34.0
男性,50代,7時間以上8時間未満,11.3
男性,50代,8時間以上9時間未満,2.3
男性,50代,9時間以上,0.4
男性,60代,5時間未満,7.7
男性,60代,5時間以上6時間未満,32.2
男性,60代,6時間以上7時間未満,36.8
男性,60代,7時間以上8時間未満,17.3
男性,60代,8時間以上9時間未満,5.4
男性,60代,9時間以上,0.6
男性,70代以上,5時間未満,4.6
男性,70代以上,5時間以上6時間未満,18.6
男性,70代以上,6時間以上7時間未満,31.6
男性,70代以上,7時間以上8時間未満,25.2
男性,70代以上,8時間以上9時間未満,14.2
男性,70代以上,9時間以上,5.9
女性,すべて,5時間未満,10.3
女性,すべて,5時間以上6時間未満,33.3
女性,すべて,6時間以上7時間未満,33.9
女性,すべて,7時間以上8時間未満,15.8
女性,すべて,8時間以上9時間未満,4.7
女性,すべて,9時間以上,2.0
女性,20代,5時間未満,4.1
女性,20代,5時間以上6時間未満,32.1
女性,20代,6時間以上7時間未満,39.4
女性,20代,7時間以上8時間未満,15.5
女性,20代,8時間以上9時間未満,6.2
女性,20代,9時間以上,2.6
女性,30代,5時間未満,8.7
女性,30代,5時間以上6時間未満,29.1
女性,30代,6時間以上7時間未満,36.6
女性,30代,7時間以上8時間未満,20.7
女性,30代,8時間以上9時間未満,3.6
女性,30代,9時間以上,1.3
女性,40代,5時間未満,11.3
女性,40代,5時間以上6時間未満,36.5
女性,40代,6時間以上7時間未満,35.2
女性,40代,7時間以上8時間未満,12.3
女性,40代,8時間以上9時間未満,3.0
女性,40代,9時間以上,1.7
女性,50代,5時間未満,16.1
女性,50代,5時間以上6時間未満,43.0
女性,50代,6時間以上7時間未満,31.6
女性,50代,7時間以上8時間未満,7.4
女性,50代,8時間以上9時間未満,1.4
女性,50代,9時間以上,0.5
女性,60代,5時間未満,9.6
女性,60代,5時間以上6時間未満,37.1
女性,60代,6時間以上7時間未満,36.3
女性,60代,7時間以上8時間未満,14.3
女性,60代,8時間以上9時間未満,2.1
女性,60代,9時間以上,0.6
女性,70代以上,5時間未満,8.7
女性,70代以上,5時間以上6時間未満,25.4
女性,70代以上,6時間以上7時間未満,31.3
女性,70代以上,7時間以上8時間未満,21.6
女性,70代以上,8時間以上9時間未満,9.0
女性,70代以上,9時間以上,4.0
